test_accuracy,overall_accuracy,test_f1,overall_f1,test_precision,test_recall,overall_precision,overall_recall,period_param,lag,min
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.59,0.63,0.01,0.1,1.0,0.01,0.97,0.05,8.0,8.0,15.0
0.59,0.61,0.01,0.0,1.0,0.01,0.0,0.0,8.0,24.0,15.0
0.59,0.61,0.03,0.0,1.0,0.01,0.0,0.0,8.0,32.0,15.0
0.59,0.63,0.04,0.14,0.75,0.02,0.92,0.08,12.0,0.0,15.0
0.59,0.64,0.03,0.17,1.0,0.01,0.88,0.09,12.0,8.0,15.0
0.59,0.62,0.01,0.08,1.0,0.01,1.0,0.04,12.0,24.0,15.0
0.59,0.68,0.06,0.32,0.62,0.03,0.95,0.19,16.0,0.0,15.0
0.6,0.85,0.4,0.78,0.53,0.32,0.89,0.7,16.0,32.0,15.0
0.61,0.66,0.12,0.25,0.77,0.06,0.95,0.15,24.0,0.0,15.0
0.59,0.63,0.01,0.1,1.0,0.01,0.97,0.05,24.0,8.0,15.0
0.59,0.63,0.06,0.1,0.62,0.03,0.94,0.05,24.0,24.0,15.0
0.6,0.69,0.12,0.36,0.62,0.06,0.94,0.22,32.0,24.0,15.0
0.61,0.79,0.27,0.66,0.59,0.17,0.93,0.51,32.0,32.0,15.0
0.59,0.63,0.01,0.11,1.0,0.01,1.0,0.06,48.0,32.0,15.0
