test_accuracy,overall_accuracy,test_f1,overall_f1,test_precision,test_recall,overall_precision,overall_recall,period_param,lag,min
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,0.75,0.19,0.58,0.55,0.11,0.92,0.42,8.0,0.0,15.0
0.6,0.68,0.06,0.29,0.56,0.03,0.97,0.17,8.0,8.0,3.0
0.62,0.7,0.09,0.42,0.64,0.05,0.97,0.27,8.0,8.0,5.0
0.62,0.79,0.17,0.63,0.68,0.1,0.97,0.46,8.0,16.0,3.0
0.61,0.8,0.16,0.69,0.52,0.09,0.95,0.54,8.0,16.0,5.0
0.61,0.62,0.01,0.09,1.0,0.01,1.0,0.05,12.0,8.0,5.0
0.62,0.81,0.27,0.72,0.53,0.18,0.92,0.58,12.0,8.0,15.0
0.6,0.69,0.08,0.31,0.54,0.05,0.96,0.19,12.0,16.0,3.0
0.62,0.78,0.29,0.66,0.53,0.2,0.9,0.52,12.0,16.0,15.0
0.6,0.65,0.01,0.15,1.0,0.01,0.94,0.08,12.0,24.0,3.0
0.62,0.8,0.28,0.7,0.52,0.2,0.9,0.58,12.0,32.0,15.0
0.62,0.79,0.22,0.67,0.54,0.13,0.92,0.53,16.0,0.0,5.0
0.6,0.64,0.03,0.11,0.67,0.01,0.97,0.06,16.0,8.0,3.0
0.62,0.75,0.23,0.57,0.54,0.15,0.9,0.42,16.0,8.0,15.0
0.6,0.7,0.08,0.37,0.54,0.05,0.94,0.23,24.0,0.0,3.0
0.62,0.7,0.11,0.42,0.6,0.06,0.96,0.27,24.0,8.0,15.0
0.61,0.87,0.21,0.81,0.51,0.13,0.96,0.7,24.0,24.0,5.0
0.62,0.63,0.01,0.12,1.0,0.01,0.98,0.07,24.0,24.0,15.0
0.62,0.6,0.03,0.02,1.0,0.01,1.0,0.01,24.0,32.0,15.0
0.61,0.66,0.03,0.25,0.67,0.01,0.98,0.14,32.0,16.0,5.0
0.62,0.73,0.2,0.5,0.53,0.12,0.94,0.34,32.0,16.0,15.0
0.61,0.67,0.01,0.28,1.0,0.01,0.99,0.17,32.0,24.0,5.0
0.6,0.63,0.01,0.09,1.0,0.01,0.97,0.05,32.0,32.0,3.0
0.62,0.66,0.05,0.27,0.57,0.03,0.9,0.16,32.0,32.0,15.0
0.62,0.7,0.1,0.42,0.62,0.05,0.99,0.26,48.0,0.0,5.0
0.62,0.81,0.32,0.73,0.52,0.23,0.86,0.64,48.0,8.0,15.0
0.62,0.74,0.2,0.53,0.55,0.12,0.95,0.37,48.0,16.0,15.0
0.62,0.62,0.03,0.09,0.67,0.01,0.94,0.05,48.0,24.0,15.0
