test_accuracy,overall_accuracy,test_f1,overall_f1,test_precision,test_recall,overall_precision,overall_recall,period_param,lag,min
0.64,0.88,0.55,0.86,0.55,0.55,0.87,0.85,32.0,16.0,5.0
0.6,0.76,0.32,0.61,0.6,0.22,0.88,0.47,32.0,16.0,15.0
0.6,0.76,0.3,0.61,0.54,0.21,0.93,0.46,32.0,24.0,3.0
0.59,0.75,0.39,0.62,0.54,0.31,0.79,0.51,32.0,24.0,15.0
0.59,0.63,0.07,0.19,0.55,0.04,0.96,0.11,32.0,32.0,3.0
0.61,0.81,0.44,0.75,0.53,0.37,0.83,0.68,32.0,32.0,5.0
0.58,0.84,0.42,0.78,0.52,0.35,0.85,0.73,32.0,32.0,15.0
0.59,0.64,0.08,0.22,0.54,0.04,0.95,0.12,48.0,0.0,3.0
0.59,0.74,0.28,0.55,0.58,0.18,0.9,0.39,48.0,0.0,15.0
0.59,0.87,0.44,0.83,0.51,0.39,0.92,0.76,48.0,8.0,3.0
0.6,0.83,0.53,0.8,0.54,0.52,0.78,0.82,48.0,8.0,15.0
0.59,0.7,0.28,0.46,0.61,0.18,0.83,0.32,48.0,16.0,15.0
0.61,0.76,0.32,0.61,0.57,0.22,0.93,0.45,48.0,24.0,3.0
0.61,0.85,0.47,0.81,0.53,0.42,0.86,0.76,48.0,24.0,5.0
0.58,0.79,0.34,0.69,0.52,0.25,0.86,0.58,48.0,24.0,15.0
0.6,0.63,0.14,0.19,0.63,0.08,0.93,0.11,48.0,32.0,3.0
0.59,0.73,0.34,0.55,0.56,0.24,0.83,0.41,48.0,32.0,15.0
