test_accuracy,overall_accuracy,test_f1,overall_f1,test_precision,test_recall,overall_precision,overall_recall,period_param,lag,min
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.61,0.82,0.53,0.79,0.55,0.5,0.78,0.8,8.0,0.0,15.0
0.63,0.87,0.52,0.84,0.55,0.49,0.88,0.8,8.0,8.0,5.0
0.59,0.78,0.45,0.69,0.54,0.39,0.82,0.6,8.0,8.0,15.0
0.6,0.85,0.45,0.8,0.52,0.4,0.88,0.73,8.0,16.0,5.0
0.58,0.76,0.33,0.62,0.54,0.24,0.86,0.49,8.0,16.0,15.0
0.62,0.84,0.37,0.77,0.57,0.28,0.92,0.66,8.0,24.0,3.0
0.61,0.88,0.61,0.87,0.52,0.76,0.81,0.95,8.0,24.0,5.0
0.59,0.76,0.4,0.66,0.55,0.32,0.79,0.56,8.0,24.0,15.0
0.62,0.83,0.48,0.77,0.54,0.43,0.87,0.7,8.0,32.0,5.0
0.58,0.8,0.45,0.75,0.52,0.4,0.78,0.72,8.0,32.0,15.0
0.58,0.77,0.4,0.67,0.54,0.32,0.82,0.57,12.0,0.0,15.0
0.58,0.76,0.34,0.63,0.52,0.25,0.85,0.5,12.0,8.0,15.0
0.59,0.78,0.28,0.64,0.51,0.19,0.94,0.49,12.0,16.0,3.0
0.62,0.86,0.5,0.82,0.54,0.46,0.88,0.78,12.0,16.0,5.0
0.59,0.83,0.42,0.76,0.55,0.34,0.87,0.67,12.0,16.0,15.0
0.62,0.81,0.39,0.71,0.59,0.29,0.92,0.58,12.0,24.0,3.0
0.6,0.87,0.53,0.85,0.52,0.54,0.86,0.84,12.0,24.0,5.0
0.59,0.8,0.41,0.72,0.55,0.33,0.81,0.66,12.0,24.0,15.0
0.61,0.78,0.29,0.65,0.57,0.2,0.91,0.51,12.0,32.0,3.0
0.58,0.81,0.44,0.76,0.52,0.39,0.8,0.72,12.0,32.0,15.0
0.6,0.88,0.45,0.84,0.51,0.4,0.9,0.8,16.0,0.0,5.0
0.6,0.8,0.5,0.74,0.54,0.47,0.77,0.72,16.0,0.0,15.0
0.6,0.79,0.34,0.68,0.53,0.25,0.92,0.53,16.0,8.0,3.0
0.64,0.89,0.6,0.87,0.55,0.65,0.86,0.88,16.0,8.0,5.0
0.59,0.79,0.43,0.71,0.55,0.35,0.83,0.62,16.0,8.0,15.0
0.59,0.8,0.25,0.68,0.52,0.16,0.96,0.52,16.0,16.0,3.0
0.63,0.88,0.53,0.85,0.55,0.52,0.87,0.83,16.0,16.0,5.0
0.59,0.83,0.49,0.79,0.53,0.45,0.8,0.78,16.0,16.0,15.0
0.6,0.75,0.24,0.58,0.55,0.15,0.94,0.42,16.0,24.0,3.0
0.58,0.76,0.42,0.66,0.53,0.34,0.76,0.59,16.0,24.0,15.0
0.59,0.86,0.48,0.82,0.51,0.45,0.91,0.74,16.0,32.0,3.0
0.59,0.74,0.35,0.58,0.51,0.27,0.88,0.43,24.0,0.0,3.0
0.6,0.84,0.49,0.8,0.51,0.47,0.86,0.74,24.0,0.0,5.0
0.58,0.78,0.46,0.72,0.53,0.4,0.74,0.69,24.0,0.0,15.0
0.61,0.81,0.38,0.72,0.56,0.29,0.94,0.58,24.0,8.0,3.0
0.61,0.83,0.54,0.78,0.52,0.56,0.81,0.76,24.0,8.0,5.0
0.59,0.75,0.38,0.62,0.55,0.29,0.83,0.5,24.0,8.0,15.0
0.6,0.7,0.15,0.45,0.61,0.09,0.93,0.29,24.0,16.0,3.0
0.6,0.67,0.18,0.38,0.55,0.11,0.89,0.24,24.0,16.0,5.0
0.59,0.78,0.44,0.69,0.55,0.36,0.79,0.61,24.0,16.0,15.0
0.59,0.63,0.09,0.19,0.57,0.05,0.87,0.11,24.0,24.0,3.0
0.62,0.85,0.54,0.82,0.53,0.55,0.83,0.81,24.0,24.0,5.0
0.6,0.75,0.23,0.58,0.56,0.15,0.93,0.42,24.0,32.0,3.0
0.6,0.87,0.47,0.83,0.52,0.44,0.88,0.79,24.0,32.0,5.0
0.61,0.79,0.43,0.7,0.6,0.33,0.86,0.58,24.0,32.0,15.0
0.6,0.81,0.49,0.75,0.56,0.44,0.79,0.71,32.0,0.0,15.0
0.62,0.87,0.57,0.84,0.53,0.61,0.85,0.84,32.0,8.0,3.0
0.64,0.87,0.57,0.85,0.55,0.59,0.83,0.87,32.0,8.0,5.0
0.6,0.8,0.47,0.73,0.56,0.4,0.83,0.65,32.0,8.0,15.0
0.6,0.83,0.35,0.74,0.52,0.27,0.94,0.61,32.0,16.0,3.0
