test_accuracy,overall_accuracy,test_f1,overall_f1,test_precision,test_recall,overall_precision,overall_recall,period_param,lag,min
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.71,0.65,0.76,0.51,0.93,0.62,0.98,8.0,0.0,5.0
0.59,0.81,0.56,0.81,0.51,0.62,0.74,0.89,8.0,16.0,15.0
0.6,0.77,0.66,0.8,0.51,0.94,0.67,0.98,12.0,32.0,5.0
0.59,0.73,0.57,0.75,0.51,0.66,0.64,0.9,16.0,24.0,15.0
0.59,0.73,0.56,0.75,0.51,0.61,0.65,0.87,24.0,8.0,15.0
0.6,0.71,0.66,0.75,0.51,0.92,0.62,0.95,24.0,16.0,5.0
0.59,0.69,0.6,0.73,0.51,0.73,0.6,0.93,24.0,16.0,15.0
0.59,0.77,0.48,0.76,0.51,0.45,0.73,0.79,24.0,24.0,15.0
0.61,0.75,0.66,0.79,0.52,0.91,0.66,0.97,32.0,32.0,5.0
0.6,0.71,0.6,0.74,0.51,0.73,0.62,0.92,48.0,0.0,15.0
0.61,0.78,0.66,0.8,0.51,0.91,0.68,0.96,48.0,8.0,5.0
0.58,0.72,0.49,0.7,0.51,0.48,0.69,0.71,48.0,8.0,15.0
0.6,0.75,0.66,0.78,0.51,0.95,0.66,0.97,48.0,24.0,5.0
0.59,0.76,0.52,0.75,0.51,0.53,0.71,0.79,48.0,24.0,15.0
