test_accuracy,overall_accuracy,test_f1,overall_f1,test_precision,test_recall,overall_precision,overall_recall,period_param,lag,min
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.76,0.4,0.6,0.57,0.3,0.82,0.48,8.0,0.0,15.0
0.61,0.84,0.47,0.79,0.57,0.4,0.86,0.74,8.0,8.0,5.0
0.59,0.75,0.35,0.57,0.56,0.25,0.85,0.43,8.0,8.0,15.0
0.64,0.83,0.63,0.81,0.56,0.72,0.76,0.87,8.0,16.0,5.0
0.61,0.72,0.32,0.5,0.62,0.21,0.88,0.35,8.0,16.0,15.0
0.63,0.87,0.62,0.86,0.55,0.7,0.78,0.96,8.0,24.0,5.0
0.6,0.71,0.33,0.44,0.59,0.23,0.86,0.3,8.0,24.0,15.0
0.61,0.84,0.58,0.83,0.54,0.63,0.78,0.88,8.0,32.0,5.0
0.6,0.71,0.29,0.45,0.6,0.2,0.84,0.31,8.0,32.0,15.0
0.58,0.82,0.61,0.82,0.51,0.76,0.72,0.96,12.0,0.0,5.0
0.61,0.66,0.24,0.28,0.71,0.15,0.8,0.17,12.0,0.0,15.0
0.61,0.84,0.56,0.82,0.54,0.59,0.8,0.84,12.0,8.0,5.0
0.59,0.68,0.28,0.37,0.57,0.19,0.83,0.24,12.0,8.0,15.0
0.6,0.85,0.55,0.84,0.53,0.57,0.81,0.87,12.0,16.0,5.0
0.59,0.7,0.3,0.45,0.56,0.2,0.83,0.31,12.0,16.0,15.0
0.58,0.9,0.5,0.89,0.52,0.47,0.88,0.9,12.0,24.0,3.0
0.59,0.87,0.56,0.85,0.52,0.6,0.81,0.91,12.0,24.0,5.0
0.6,0.73,0.34,0.52,0.57,0.24,0.86,0.38,12.0,24.0,15.0
0.6,0.84,0.6,0.83,0.53,0.7,0.75,0.94,12.0,32.0,5.0
0.59,0.73,0.27,0.49,0.6,0.17,0.91,0.34,12.0,32.0,15.0
0.59,0.72,0.3,0.49,0.55,0.21,0.85,0.34,16.0,0.0,15.0
