test_accuracy,overall_accuracy,test_f1,overall_f1,test_precision,test_recall,overall_precision,overall_recall,period_param,lag,min
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,0.63,0.09,0.1,0.64,0.05,0.73,0.05,8.0,8.0,15.0
0.59,0.77,0.16,0.62,0.52,0.09,0.91,0.47,8.0,16.0,5.0
0.59,0.68,0.05,0.36,0.67,0.03,0.92,0.22,8.0,32.0,5.0
0.62,0.64,0.04,0.15,0.6,0.02,0.89,0.08,8.0,32.0,15.0
0.62,0.71,0.2,0.42,0.55,0.12,0.86,0.28,12.0,8.0,15.0
0.64,0.73,0.27,0.5,0.59,0.18,0.88,0.35,12.0,16.0,15.0
0.61,0.63,0.04,0.14,1.0,0.02,0.98,0.07,12.0,24.0,3.0
0.64,0.77,0.24,0.6,0.61,0.15,0.89,0.45,12.0,24.0,15.0
0.6,0.66,0.04,0.25,0.6,0.02,0.98,0.14,12.0,32.0,3.0
0.62,0.66,0.12,0.22,0.53,0.07,0.88,0.13,12.0,32.0,15.0
0.62,0.66,0.14,0.23,0.57,0.08,0.86,0.13,16.0,0.0,15.0
0.6,0.73,0.13,0.49,0.55,0.07,0.93,0.34,16.0,8.0,3.0
0.59,0.82,0.22,0.71,0.52,0.14,0.94,0.57,16.0,8.0,5.0
0.63,0.66,0.16,0.22,0.65,0.09,0.9,0.12,16.0,8.0,15.0
0.62,0.79,0.27,0.66,0.53,0.18,0.89,0.52,16.0,16.0,15.0
0.62,0.66,0.11,0.23,0.53,0.06,0.86,0.13,16.0,32.0,15.0
0.6,0.8,0.14,0.67,0.63,0.08,0.94,0.53,24.0,16.0,5.0
0.63,0.64,0.18,0.18,0.62,0.11,0.78,0.1,24.0,16.0,15.0
0.6,0.85,0.25,0.78,0.57,0.16,0.89,0.69,24.0,32.0,5.0
0.62,0.64,0.06,0.16,0.71,0.03,0.85,0.09,24.0,32.0,15.0
0.62,0.62,0.03,0.03,1.0,0.01,1.0,0.02,32.0,0.0,15.0
0.6,0.69,0.05,0.35,0.57,0.03,0.98,0.21,32.0,8.0,3.0
0.6,0.71,0.12,0.43,0.71,0.06,0.93,0.28,32.0,16.0,5.0
0.63,0.67,0.15,0.29,0.59,0.09,0.83,0.17,32.0,24.0,15.0
0.6,0.69,0.1,0.35,0.53,0.05,0.98,0.21,32.0,32.0,3.0
0.59,0.71,0.09,0.46,0.57,0.05,0.91,0.31,32.0,32.0,5.0
0.62,0.67,0.1,0.28,0.53,0.05,0.88,0.16,32.0,32.0,15.0
0.62,0.75,0.22,0.53,0.54,0.14,0.91,0.38,48.0,0.0,15.0
0.62,0.63,0.1,0.11,0.57,0.05,0.81,0.06,48.0,8.0,15.0
0.59,0.73,0.09,0.49,0.62,0.05,0.95,0.33,48.0,16.0,5.0
0.63,0.69,0.25,0.37,0.56,0.16,0.83,0.24,48.0,16.0,15.0
0.6,0.87,0.22,0.8,0.51,0.14,0.96,0.69,48.0,24.0,3.0
0.6,0.83,0.3,0.76,0.52,0.21,0.9,0.65,48.0,32.0,3.0
0.6,0.83,0.26,0.76,0.55,0.17,0.88,0.67,48.0,32.0,5.0
