test_accuracy,overall_accuracy,test_f1,overall_f1,test_precision,test_recall,overall_precision,overall_recall,period_param,lag,min
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.59,0.72,0.57,0.74,0.51,0.66,0.64,0.88,12.0,0.0,5.0
0.59,0.7,0.49,0.68,0.51,0.47,0.66,0.71,24.0,0.0,5.0
0.61,0.75,0.34,0.68,0.56,0.24,0.81,0.58,24.0,8.0,5.0
0.6,0.74,0.08,0.62,0.64,0.05,0.95,0.46,24.0,32.0,5.0
0.6,0.7,0.29,0.57,0.53,0.2,0.81,0.44,48.0,8.0,5.0
0.59,0.56,0.01,0.07,0.67,0.01,0.96,0.04,48.0,32.0,5.0
0.59,0.73,0.09,0.58,0.56,0.05,0.95,0.42,72.0,32.0,5.0
