test_accuracy,overall_accuracy,test_f1,overall_f1,test_precision,test_recall,overall_precision,overall_recall,period_param,lag,min
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,0.87,0.42,0.83,0.53,0.34,0.87,0.8,8.0,0.0,5.0
0.61,0.92,0.44,0.9,0.54,0.38,0.9,0.9,12.0,0.0,3.0
0.61,0.69,0.13,0.42,0.52,0.07,0.88,0.27,12.0,8.0,15.0
0.62,0.76,0.2,0.59,0.56,0.12,0.92,0.44,12.0,16.0,15.0
0.61,0.81,0.29,0.71,0.52,0.21,0.94,0.57,12.0,24.0,5.0
0.62,0.8,0.25,0.69,0.55,0.16,0.94,0.55,12.0,24.0,15.0
0.62,0.65,0.06,0.22,0.83,0.03,0.96,0.12,16.0,16.0,5.0
0.62,0.84,0.37,0.78,0.51,0.3,0.9,0.68,16.0,16.0,15.0
0.65,0.76,0.31,0.6,0.65,0.2,0.9,0.45,24.0,0.0,15.0
0.61,0.66,0.05,0.24,0.57,0.03,0.95,0.14,24.0,8.0,5.0
0.62,0.83,0.34,0.74,0.52,0.26,0.94,0.61,24.0,8.0,15.0
0.61,0.75,0.25,0.56,0.51,0.17,0.92,0.4,24.0,24.0,5.0
0.61,0.87,0.28,0.81,0.52,0.19,0.95,0.71,24.0,32.0,5.0
0.61,0.75,0.13,0.55,0.55,0.07,0.9,0.4,32.0,0.0,5.0
0.62,0.82,0.35,0.75,0.51,0.27,0.87,0.66,32.0,0.0,15.0
0.61,0.62,0.01,0.09,1.0,0.01,0.94,0.05,32.0,24.0,5.0
0.62,0.65,0.08,0.26,0.67,0.04,0.9,0.15,32.0,24.0,15.0
0.6,0.8,0.17,0.68,0.53,0.1,0.96,0.52,32.0,32.0,3.0
0.62,0.85,0.42,0.8,0.51,0.36,0.85,0.75,48.0,0.0,15.0
0.61,0.69,0.09,0.37,0.54,0.05,0.95,0.23,48.0,8.0,5.0
0.61,0.63,0.03,0.14,0.67,0.01,0.98,0.08,48.0,16.0,5.0
0.62,0.71,0.12,0.42,0.77,0.07,0.96,0.27,48.0,24.0,5.0
0.63,0.84,0.49,0.79,0.53,0.46,0.82,0.77,48.0,24.0,15.0
