test_accuracy,overall_accuracy,test_f1,overall_f1,test_precision,test_recall,overall_precision,overall_recall,period_param,lag,min
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.87,0.5,0.84,0.51,0.5,0.85,0.82,8.0,0.0,15.0
0.61,0.88,0.44,0.86,0.51,0.39,0.87,0.84,8.0,24.0,5.0
0.62,0.84,0.35,0.78,0.51,0.27,0.93,0.67,8.0,32.0,3.0
0.61,0.93,0.48,0.92,0.51,0.46,0.9,0.94,12.0,32.0,5.0
0.6,0.74,0.22,0.55,0.54,0.14,0.97,0.39,16.0,32.0,15.0
0.61,0.63,0.04,0.17,0.6,0.02,0.98,0.09,24.0,16.0,3.0
0.62,0.92,0.44,0.89,0.53,0.38,0.93,0.86,24.0,24.0,5.0
0.62,0.79,0.11,0.66,0.64,0.06,0.95,0.5,32.0,0.0,3.0
0.61,0.63,0.09,0.21,0.78,0.05,0.97,0.12,32.0,8.0,15.0
0.6,0.77,0.23,0.63,0.55,0.15,0.94,0.47,32.0,32.0,15.0
0.62,0.85,0.28,0.79,0.54,0.19,0.94,0.68,48.0,0.0,5.0
0.61,0.61,0.01,0.1,1.0,0.01,0.94,0.05,48.0,8.0,3.0
0.62,0.79,0.26,0.66,0.55,0.17,0.95,0.51,48.0,8.0,5.0
0.63,0.73,0.12,0.5,0.77,0.07,0.99,0.33,48.0,32.0,3.0
