test_accuracy,overall_accuracy,test_f1,overall_f1,test_precision,test_recall,overall_precision,overall_recall,period_param,lag,min
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.78,0.35,0.66,0.57,0.25,0.91,0.51,8.0,0.0,5.0
0.58,0.68,0.13,0.38,0.52,0.07,0.88,0.24,8.0,8.0,5.0
0.6,0.75,0.36,0.66,0.52,0.28,0.8,0.55,8.0,16.0,15.0
0.6,0.68,0.06,0.37,0.83,0.03,0.95,0.23,8.0,24.0,3.0
0.61,0.81,0.36,0.73,0.58,0.27,0.88,0.62,8.0,24.0,5.0
0.61,0.81,0.24,0.72,0.57,0.15,0.96,0.57,8.0,32.0,3.0
0.58,0.74,0.17,0.54,0.52,0.1,0.94,0.38,8.0,32.0,5.0
0.58,0.68,0.18,0.37,0.55,0.11,0.9,0.24,12.0,0.0,5.0
0.59,0.83,0.34,0.76,0.53,0.25,0.89,0.66,12.0,8.0,5.0
0.6,0.83,0.31,0.77,0.53,0.22,0.89,0.68,12.0,32.0,3.0
0.6,0.84,0.39,0.77,0.55,0.3,0.89,0.68,12.0,32.0,5.0
0.6,0.8,0.22,0.7,0.52,0.14,0.92,0.57,16.0,16.0,3.0
0.58,0.62,0.04,0.15,1.0,0.02,0.96,0.08,16.0,16.0,5.0
0.61,0.85,0.26,0.79,0.55,0.17,0.94,0.68,16.0,24.0,3.0
0.59,0.64,0.07,0.23,0.86,0.04,0.96,0.13,16.0,32.0,5.0
0.6,0.87,0.3,0.83,0.51,0.21,0.93,0.74,24.0,8.0,3.0
0.6,0.79,0.32,0.68,0.56,0.23,0.9,0.55,24.0,8.0,5.0
0.6,0.75,0.39,0.65,0.52,0.31,0.79,0.55,24.0,16.0,15.0
0.6,0.77,0.45,0.72,0.52,0.39,0.75,0.68,24.0,24.0,15.0
0.6,0.91,0.41,0.88,0.51,0.34,0.92,0.85,24.0,32.0,3.0
0.61,0.85,0.41,0.8,0.57,0.32,0.9,0.72,24.0,32.0,5.0
0.59,0.63,0.1,0.2,0.69,0.06,0.89,0.11,32.0,0.0,5.0
0.6,0.66,0.03,0.31,1.0,0.01,0.97,0.19,32.0,16.0,3.0
0.58,0.69,0.12,0.39,0.55,0.07,0.93,0.25,32.0,16.0,5.0
0.59,0.69,0.19,0.41,0.56,0.11,0.95,0.26,32.0,24.0,5.0
0.61,0.86,0.37,0.81,0.53,0.28,0.92,0.71,32.0,32.0,3.0
0.58,0.63,0.07,0.17,0.67,0.04,0.9,0.09,32.0,32.0,5.0
0.6,0.89,0.3,0.85,0.52,0.21,0.94,0.77,48.0,0.0,3.0
0.58,0.71,0.12,0.46,0.52,0.07,0.96,0.3,48.0,16.0,5.0
0.58,0.73,0.14,0.5,0.52,0.08,0.95,0.34,48.0,32.0,5.0
