test_accuracy,overall_accuracy,test_f1,overall_f1,test_precision,test_recall,overall_precision,overall_recall,period_param,lag,min
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.61,0.8,0.51,0.77,0.52,0.51,0.76,0.77,8.0,0.0,15.0
0.62,0.84,0.54,0.82,0.52,0.56,0.76,0.9,8.0,8.0,15.0
0.61,0.8,0.45,0.76,0.52,0.4,0.79,0.73,8.0,24.0,15.0
0.61,0.83,0.53,0.81,0.52,0.54,0.76,0.86,8.0,32.0,15.0
0.6,0.76,0.45,0.69,0.51,0.4,0.76,0.63,12.0,0.0,15.0
0.62,0.82,0.48,0.77,0.53,0.45,0.79,0.75,16.0,0.0,15.0
0.58,0.88,0.39,0.83,0.51,0.31,0.92,0.77,16.0,16.0,3.0
0.61,0.78,0.45,0.72,0.52,0.4,0.78,0.67,16.0,16.0,15.0
0.59,0.91,0.42,0.89,0.51,0.36,0.88,0.9,16.0,24.0,3.0
0.61,0.9,0.48,0.88,0.53,0.44,0.86,0.89,16.0,32.0,5.0
0.61,0.75,0.39,0.64,0.53,0.31,0.8,0.54,24.0,0.0,15.0
0.59,0.83,0.26,0.75,0.51,0.17,0.91,0.64,24.0,16.0,5.0
0.6,0.76,0.36,0.63,0.52,0.28,0.85,0.51,24.0,16.0,15.0
0.62,0.8,0.45,0.73,0.54,0.38,0.82,0.66,24.0,24.0,15.0
0.6,0.84,0.45,0.8,0.51,0.4,0.84,0.77,32.0,8.0,15.0
0.61,0.71,0.3,0.5,0.55,0.2,0.86,0.36,32.0,16.0,15.0
0.61,0.8,0.4,0.73,0.52,0.32,0.81,0.67,32.0,24.0,15.0
0.61,0.77,0.4,0.67,0.53,0.32,0.82,0.56,48.0,0.0,15.0
0.62,0.77,0.37,0.67,0.56,0.27,0.84,0.55,48.0,8.0,15.0
0.59,0.91,0.41,0.89,0.51,0.34,0.9,0.87,48.0,16.0,3.0
0.61,0.72,0.32,0.56,0.53,0.23,0.83,0.42,48.0,16.0,15.0
0.63,0.75,0.43,0.63,0.56,0.34,0.81,0.52,48.0,24.0,15.0
0.6,0.84,0.31,0.77,0.53,0.22,0.92,0.66,48.0,32.0,5.0
0.61,0.7,0.27,0.46,0.56,0.18,0.88,0.31,48.0,32.0,15.0
