test_accuracy,overall_accuracy,test_f1,overall_f1,test_precision,test_recall,overall_precision,overall_recall,period_param,lag,min
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,0.76,0.27,0.61,0.53,0.18,0.91,0.46,8.0,16.0,15.0
0.62,0.69,0.1,0.4,0.57,0.05,0.98,0.25,12.0,8.0,3.0
0.61,0.78,0.3,0.66,0.52,0.21,0.9,0.52,12.0,8.0,15.0
0.62,0.77,0.31,0.62,0.55,0.22,0.94,0.46,12.0,16.0,15.0
0.63,0.73,0.17,0.53,0.58,0.1,0.95,0.37,16.0,8.0,3.0
0.61,0.76,0.3,0.62,0.51,0.21,0.86,0.48,16.0,8.0,15.0
0.61,0.69,0.16,0.38,0.54,0.09,0.96,0.24,16.0,16.0,15.0
0.61,0.87,0.57,0.84,0.52,0.63,0.87,0.81,24.0,0.0,5.0
0.61,0.79,0.36,0.68,0.51,0.28,0.9,0.54,24.0,0.0,15.0
0.63,0.64,0.04,0.21,1.0,0.02,0.97,0.12,24.0,24.0,3.0
0.62,0.73,0.2,0.52,0.6,0.12,0.96,0.36,24.0,24.0,15.0
0.61,0.7,0.17,0.44,0.58,0.1,0.97,0.29,24.0,32.0,5.0
0.63,0.77,0.34,0.63,0.55,0.25,0.94,0.48,24.0,32.0,15.0
0.62,0.62,0.01,0.15,1.0,0.01,1.0,0.08,32.0,32.0,3.0
0.61,0.86,0.36,0.81,0.54,0.27,0.95,0.71,48.0,16.0,5.0
